table,_start,_stop,_time,_measurement,file_type,job_id,job_name,job_status,production_label,project_name,quality,render_node,resolution,task,aa_samples,aov_count,file_size,frame_number,light_count,polygon_count,render_time,total_render_time
10,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.819168Z,render_jobs,exr,00dcc9bd-74e6-4683-98de-69425f571ed5,nike_0456_compositing.1037,finished,fx_easy,nike_0456,medium,node_10,1920x1080,compositing,4,1,6.930001980730957,1037,7,658156,150.95293545772145,7547.6467728860725
11,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.697151Z,render_jobs,exr,00e3bde2-94c9-405d-bd9d-1c98f8b22d28,apple_0789_compositing.1006,error,fx_complex,apple_0789,final,node_13,3840x2160,compositing,16,7,9.361220133808688,1006,12,186016,84.30709168672092,4215.354584336046
12,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.660405Z,render_jobs,exr,0123efb0-41c4-4d26-b5d1-c8e2015b377a,apple_0789_lighting.1034,finished,lighting_complex,apple_0789,final,node_1,3840x2160,lighting,16,6,3.2347280680342516,1034,20,604092,146.2993434055523,7314.967170277615
13,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.63799Z,render_jobs,exr,012deb11-4b2e-4daa-acaf-408aac63006c,lidl_0123_compositing.1004,finished,lighting_mid,lidl_0123,medium,node_6,1920x1080,compositing,4,4,5.9051637754051916,1004,20,806743,159.8844669891815,7994.2233494590755
14,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.8147Z,render_jobs,exr,01309f7c-d8b8-4d91-b95d-6fae9efc9abf,apple_0789_lighting.1027,finished,lighting_easy,apple_0789,final,node_12,3840x2160,lighting,16,6,4.819719564,1027,11,632682,217.92343178840218,10896.17158942011
15,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.683295Z,render_jobs,exr,0138c185-1c5b-48e1-afc3-4c8929d65fd0,lidl_0123_lighting.1044,finished,fx_complex,lidl_0123,final,node_1,3840x2160,lighting,16,8,9.913186870620278,1044,7,670415,127.10971680509999,6355.48584
16,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.924587Z,render_jobs,exr,016df605-bc89-4b1d-a6b3-5b17fcc2e0b4,nike_0456_lighting.1024,finished,fx_complex,nike_0456,low,node_12,1280x720,lighting,2,3,9.101869322425804,1024,11,369930,137.50367523607628,6875.1837618038135
17,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.80029Z,render_jobs,exr,01761d01-ac9c-4495-9a1d-e34a19a45aab,nike_0456_animation_playblast.1006,idle,fx_easy,nike_0456,low,node_11,1280x720,animation_playblast,2,4,8.478196611354171,1006,16,766371,195.53484834067774,9776.742417033887
18,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.799635Z,render_jobs,exr,0186fb98-0e66-4c60-923a-131a53d45bef,lidl_0123_compositing.1044,finished,lighting_complex,lidl_0123,low,node_11,1280x720,compositing,2,1,9.404176214940334,1044,3,457181,101.5319184127103,5076.595920635515
19,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.792171Z,render_jobs,exr,01d995c8-406a-4489-8c12-dd27c3bed034,nike_0456_lighting.1009,idle,fx_easy,nike_0456,high,node_11,2560x1440,lighting,8,10,9.899874041474833,1009,7,17852,68.69168523309868,3434.584261654934
20,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.888757Z,render_jobs,exr,01e43442-cc0f-4e5b-9a8e-0de99cf302d9,lidl_0123_lighting.1031,finished,lighting_complex,lidl_0123,low,node_2,1280x720,lighting,2,10,4.126325008972161,1031,19,661546,158.97163954668957,7948.581977334478
21,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.876076Z,render_jobs,exr,01e54361-967a-403a-b539-27e4f1ed5339,nike_0456_lighting.1046,finished,lighting_complex,nike_0456,medium,node_0,1920x1080,lighting,4,4,1.1804992521439563,1046,1,262400,72.25442838211455,3612.721419105728
22,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.738062Z,render_jobs,exr,01ef143e-7abf-492b-9a68-3d0123fbcea9,nike_0456_lighting.1040,idle,lighting_easy,nike_0456,final,node_9,3840x2160,lighting,16,7,2.195364949023565,1040,9,67440,84.03692297884946,4201.846148942473
23,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.903731Z,render_jobs,exr,020f1423-962c-4f4d-ab83-7e35a7816542,lidl_0123_animation_playblast.1040,finished,lighting_complex,lidl_0123,final,node_0,3840x2160,animation_playblast,16,4,4.676687025202831,1040,4,721404,172.10492309207288,8605.246154603645
24,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.877681Z,render_jobs,exr,02135ee8-454c-42c9-af60-8ac876feee3b,lidl_0123_lighting.1016,finished,lighting_mid,lidl_0123,low,node_4,1280x720,lighting,2,1,4.239061585,1016,16,10671,68.40374675,3420.187337
25,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.829482Z,render_jobs,exr,023b9716-0a5d-4227-a2a2-9631b7ab7f6d,lidl_0123_animation_playblast.1015,finished,fx_easy,lidl_0123,low,node_2,1280x720,animation_playblast,2,9,5.159481203414529,1015,1,719214,119.61363744221089,5980.681872110545
26,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.852634Z,render_jobs,exr,0261b508-0fe4-4f43-89b7-b75c8b7db393,nike_0456_lighting.1037,finished,lighting_easy,nike_0456,low,node_2,1280x720,lighting,2,4,2.119220942762591,1037,4,639822,110.86931895408294,5543.465947704147
27,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.671973Z,render_jobs,exr,028c196e-754a-493e-8730-a557bc13f773,lidl_0123_animation_playblast.1030,finished,lighting_mid,lidl_0123,final,node_3,3840x2160,animation_playblast,16,2,7.843497555830898,1030,5,484104,113.13785143330826,5656.892571665413
28,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.812608Z,render_jobs,exr,02a3dbb3-a8a7-4071-968a-18f1303315fb,nike_0456_lighting.1032,finished,lighting_complex,nike_0456,medium,node_5,1920x1080,lighting,4,6,9.179024172082313,1032,20,787856,140.3621014021774,7018.10507
29,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.689126Z,render_jobs,exr,02abe77b-aa0a-4bcd-adc7-f6e1e3a62cdb,nike_0456_compositing.1033,finished,lighting_mid,nike_0456,high,node_1,2560x1440,compositing,8,2,5.408688124434101,1033,4,730168,111.61378146631802,5580.689073315901
30,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.817372Z,render_jobs,exr,02d5cd79-15d0-4a62-a22b-9f8f150f2ca1,apple_0789_lighting.1020,finished,fx_complex,apple_0789,final,node_6,3840x2160,lighting,16,2,4.453382647,1020,2,789086,127.87201662828899,6393.600831414449
31,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.912248Z,render_jobs,exr,02d7bade-7368-4b70-b924-f7ee5e82c471,lidl_0123_lighting.1037,finished,lighting_easy,lidl_0123,final,node_2,3840x2160,lighting,16,10,8.775849348392494,1037,5,271795,92.21594056980061,4610.797028
32,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.922684Z,render_jobs,exr,02f6f2e5-9d10-4521-bde8-abbaf8dc990d,nike_0456_animation_playblast.1028,finished,fx_easy,nike_0456,medium,node_3,1920x1080,animation_playblast,4,5,2.8595699200214106,1028,10,554188,123.62331579197927,6181.165789598963
33,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.736423Z,render_jobs,exr,02fa6eba-82eb-4c9a-a10e-781d298c6399,lidl_0123_lighting.1046,finished,lighting_complex,lidl_0123,final,node_0,3840x2160,lighting,16,2,5.366212840360843,1046,8,294361,114.75093918926909,5737.546959463454
34,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.849113Z,render_jobs,exr,03174625-9586-4767-bb07-d172f0e1ccaa,apple_0789_compositing.1041,idle,fx_complex,apple_0789,low,node_6,1280x720,compositing,2,10,6.735946003,1041,11,239781,78.37531745563004,3918.765872781502
35,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.881924Z,render_jobs,exr,03219207-7a30-40de-ad3f-a171865b56c0,lidl_0123_lighting.1045,finished,fx_complex,lidl_0123,medium,node_9,1920x1080,lighting,4,4,3.856791062503204,1045,2,994361,176.73033012177652,8836.516506088827
36,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.733092Z,render_jobs,exr,0324b8e2-5f79-494e-838c-abf085d5c831,nike_0456_compositing.1007,finished,lighting_complex,nike_0456,high,node_5,2560x1440,compositing,8,10,1.4606846060695162,1007,2,241663,56.80430747847844,2840.215373923922
37,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.667285Z,render_jobs,exr,033ec595-7e7a-4365-a44a-4b080d97406c,nike_0456_compositing.1011,finished,fx_easy,nike_0456,low,node_1,1280x720,compositing,2,5,1.545224527009259,1011,7,459103,84.97843345571191,4248.921672785596
38,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.908122Z,render_jobs,exr,034dce49-a674-469d-a961-abf14d0dfd06,lidl_0123_animation_playblast.1026,idle,lighting_easy,lidl_0123,high,node_2,2560x1440,animation_playblast,8,10,9.746579623,1026,5,929143,164.96949703861122,8248.474851930561
39,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.65418Z,render_jobs,exr,0354c7ab-5ba8-47af-8112-b132c62609d7,lidl_0123_animation_playblast.1033,finished,fx_complex,lidl_0123,final,node_5,3840x2160,animation_playblast,16,2,1.7913591338552886,1033,9,256112,72.42465007847792,3621.2325039238963
40,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.822324Z,render_jobs,exr,036d1576-a089-4908-aba3-8937fb0eda95,nike_0456_lighting.1040,idle,fx_complex,nike_0456,medium,node_12,1920x1080,lighting,4,8,6.5179930209186425,1040,14,357198,159.2959812482453,7964.799062412266
41,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.69297Z,render_jobs,exr,03aa7736-0504-4b23-a9ab-22c3b137ba89,apple_0789_lighting.1009,finished,fx_easy,apple_0789,high,node_11,2560x1440,lighting,8,1,1.3462515409465785,1009,19,619491,186.61132382541078,9330.566191270538
42,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.709417Z,render_jobs,exr,03c0d03d-396f-41c1-88ee-b95e5cd5361a,nike_0456_lighting.1000,finished,fx_easy,nike_0456,high,node_0,2560x1440,lighting,8,9,6.221344804931046,1000,19,819514,229.62563596348335,11481.281798174168
43,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.640918Z,render_jobs,exr,03c8a111-99c6-43bd-ae6b-22f307c4614a,lidl_0123_compositing.1050,finished,lighting_complex,lidl_0123,high,node_9,2560x1440,compositing,8,5,6.296664433,1050,8,119922,74.21078525772528,3710.5392628862637
44,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.729771Z,render_jobs,exr,03cf9469-5218-4554-b5aa-0b650db18abb,apple_0789_animation_playblast.1045,idle,lighting_mid,apple_0789,final,node_0,3840x2160,animation_playblast,16,6,6.148920791090529,1045,15,256898,137.02371050912518,6851.185525456259
45,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.754008Z,render_jobs,exr,03deb24e-480e-4699-9bbd-0d3ed0b58cf3,lidl_0123_compositing.1048,idle,lighting_mid,lidl_0123,final,node_11,3840x2160,compositing,16,5,9.700656491073518,1048,5,517173,145.4579992157802,7272.899961
46,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.796169Z,render_jobs,exr,03ebdfe3-ac8f-4b29-9520-f0665a9a64b3,nike_0456_compositing.1037,finished,fx_easy,nike_0456,medium,node_1,1920x1080,compositing,4,8,4.6117870969174835,1037,3,449462,80.59848684177608,4029.9243420888038
47,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.762363Z,render_jobs,exr,03f2d539-d34a-4c1c-af86-1cf317d85b11,apple_0789_compositing.1017,idle,lighting_easy,apple_0789,low,node_3,1280x720,compositing,2,4,8.823241040229178,1017,5,597665,112.29478783751532,5614.739391875766
48,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.915819Z,render_jobs,exr,040045fb-62b7-458e-9c39-c4def00b7fcf,apple_0789_lighting.1013,finished,lighting_complex,apple_0789,low,node_13,1280x720,lighting,2,9,3.627834782251588,1013,9,421672,90.51356813023024,4525.678406511512
49,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.628352Z,render_jobs,exr,040530d3-54bc-4073-9bbc-fed960e484b1,lidl_0123_compositing.1033,error,lighting_mid,lidl_0123,medium,node_7,1920x1080,compositing,4,3,3.9799123442118503,1033,4,770096,122.97887566182098,6148.943783091049
50,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.810487Z,render_jobs,exr,0405dcc5-e589-425c-b7b2-ec775dedc101,nike_0456_animation_playblast.1030,finished,lighting_complex,nike_0456,final,node_13,3840x2160,animation_playblast,16,7,5.3576616090783995,1030,2,521753,99.44379739702391,4972.189869851196
51,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.926407Z,render_jobs,exr,040f76b6-e55b-43a5-9e6e-8425deecaf00,apple_0789_animation_playblast.1011,finished,fx_easy,apple_0789,high,node_11,2560x1440,animation_playblast,8,3,2.4540756877800796,1011,12,516063,151.5591924014119,7577.9596200705955
52,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.869865Z,render_jobs,exr,041acae0-7629-4016-9fe4-5f7568b064a7,nike_0456_compositing.1045,idle,lighting_complex,nike_0456,final,node_1,3840x2160,compositing,16,10,5.407787225419314,1045,13,174471,87.78135179032314,4389.067589516158
53,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.848929Z,render_jobs,exr,041f4d94-6e48-4680-9cd5-745db293b174,nike_0456_compositing.1035,finished,lighting_mid,nike_0456,medium,node_13,1920x1080,compositing,4,9,1.8182267663753067,1035,17,179122,83.53830757356955,4176.915378678477
54,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.692308Z,render_jobs,exr,042a3de9-faaa-444e-8bcd-010ca5670c98,apple_0789_animation_playblast.1014,finished,fx_easy,apple_0789,final,node_4,3840x2160,animation_playblast,16,3,7.556026041806831,1014,19,76376,110.82728212106254,5541.364106053127
55,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.884524Z,render_jobs,exr,042f0fc7-91e2-4606-adb9-3fa1f035e24f,lidl_0123_lighting.1015,finished,lighting_easy,lidl_0123,medium,node_8,1920x1080,lighting,4,6,1.7373855053265164,1015,2,380184,77.10238755276919,3855.1193776384594
56,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.754633Z,render_jobs,exr,0440f3f6-0c5c-4948-b2cd-d130fb009aee,nike_0456_compositing.1050,idle,lighting_mid,nike_0456,high,node_12,2560x1440,compositing,8,6,7.535286283,1050,5,427670,142.65869253642734,7132.934626821367
57,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.813463Z,render_jobs,exr,045b0f52-acba-4584-bec1-aff0a24b8fc3,apple_0789_animation_playblast.1035,error,fx_complex,apple_0789,medium,node_13,1920x1080,animation_playblast,4,9,8.726053405234929,1035,20,451704,120.6261749829273,6031.308749146365
58,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.857186Z,render_jobs,exr,045d7e18-d9e2-4b95-b443-becdf587d08d,lidl_0123_animation_playblast.1013,idle,lighting_easy,lidl_0123,high,node_10,2560x1440,animation_playblast,8,3,5.360154269665901,1013,9,356953,118.92003847357546,5946.001923678773
59,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.709019Z,render_jobs,exr,0465d9fe-87b8-4e1b-9491-894744082bc3,nike_0456_lighting.1007,idle,lighting_easy,nike_0456,high,node_8,2560x1440,lighting,8,8,5.265449321,1007,3,105638,52.916079797585176,2645.803989879259
60,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.906266Z,render_jobs,exr,047752df-5045-4f9b-b055-378d8fcd1369,apple_0789_compositing.1030,finished,fx_easy,apple_0789,high,node_5,2560x1440,compositing,8,2,4.079564074649413,1030,2,651814,90.19443450897028,4509.721725448514
61,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.902198Z,render_jobs,exr,04805982-ccc9-4064-9dee-ffe10c8c24b6,nike_0456_compositing.1005,finished,lighting_easy,nike_0456,final,node_10,3840x2160,compositing,16,7,3.982919045038067,1005,5,761928,189.7631090814708,9488.155454
62,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.687592Z,render_jobs,exr,0482c9e2-ddbf-4d85-b819-fd1d7dfb2b71,lidl_0123_animation_playblast.1008,idle,lighting_easy,lidl_0123,high,node_11,2560x1440,animation_playblast,8,2,8.695073691179546,1008,18,207345,120.38364836792363,6019.182418396182
63,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.859148Z,render_jobs,exr,048b2dd8-e556-46df-8049-fde514968133,apple_0789_animation_playblast.1040,idle,lighting_mid,apple_0789,final,node_8,3840x2160,animation_playblast,16,3,5.112017098885505,1040,20,670674,169.1614329,8458.071643
64,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.686195Z,render_jobs,exr,048bb5cc-8420-4104-9e55-8ca8e98fae26,apple_0789_compositing.1023,error,fx_complex,apple_0789,final,node_7,3840x2160,compositing,16,7,4.152821282171234,1023,20,287295,122.6411978052969,6132.059890264845
65,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.77168Z,render_jobs,exr,04b2d23d-229d-40a0-b7d6-86dd4d51be54,nike_0456_lighting.1023,finished,fx_easy,nike_0456,final,node_3,3840x2160,lighting,16,4,7.866219624640591,1023,8,727525,155.48363046964184,7774.1815234820915
66,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.849438Z,render_jobs,exr,04b49d52-14b7-447e-8995-50f2c4784641,lidl_0123_compositing.1021,finished,lighting_complex,lidl_0123,medium,node_13,1920x1080,compositing,4,5,5.657297845297413,1021,12,745637,131.1011094,6555.055472
67,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.655654Z,render_jobs,exr,04e4ca10-1069-4ff1-aa49-d2f0cd3abcd2,lidl_0123_compositing.1049,idle,fx_complex,lidl_0123,medium,node_0,1920x1080,compositing,4,2,1.6243240424278838,1049,5,716432,152.5768512,7628.842562
68,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.711585Z,render_jobs,exr,04eaf571-ee31-4bed-a59c-0d42b2ec0baa,apple_0789_compositing.1017,finished,lighting_complex,apple_0789,low,node_9,1280x720,compositing,2,2,3.3383326916659333,1017,12,590312,141.21300015491371,7060.650007745686
69,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.800802Z,render_jobs,exr,0500dda6-5131-4b49-a2fa-07331c02f264,lidl_0123_animation_playblast.1019,finished,lighting_complex,lidl_0123,high,node_1,2560x1440,animation_playblast,8,7,7.952228126567874,1019,12,684851,129.80965816526083,6490.482908263041
70,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.759599Z,render_jobs,exr,05151655-ae85-4cd3-b2eb-6e83f9143c70,apple_0789_lighting.1006,error,lighting_mid,apple_0789,final,node_13,3840x2160,lighting,16,7,6.605507439367104,1006,18,123408,90.70715809547983,4535.357904773991
71,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.731961Z,render_jobs,exr,052c2622-217b-40ba-9244-03f13201aae6,lidl_0123_compositing.1004,finished,lighting_complex,lidl_0123,final,node_2,3840x2160,compositing,16,6,1.4901369055588471,1004,12,70058,79.39572022701364,3969.786011350682
72,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.843447Z,render_jobs,exr,052c98ad-a66d-491f-a7ee-ccb4eb492885,nike_0456_animation_playblast.1025,finished,fx_easy,nike_0456,medium,node_13,1920x1080,animation_playblast,4,6,2.242633900101775,1025,1,729799,105.91679458762228,5295.839729381114
73,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.810313Z,render_jobs,exr,0550e3ff-5dfe-4401-85ef-c21e77b5bbbe,apple_0789_animation_playblast.1016,error,lighting_mid,apple_0789,low,node_6,1280x720,animation_playblast,2,4,6.4183729583916636,1016,14,893646,153.76265094704203,7688.132547352102
74,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.65882Z,render_jobs,exr,0559b6bf-582e-45ed-81f7-edb40d2632b4,lidl_0123_animation_playblast.1008,idle,lighting_mid,lidl_0123,final,node_13,3840x2160,animation_playblast,16,7,4.234640609500898,1008,7,710966,131.69537263880667,6584.768631940334
75,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.879288Z,render_jobs,exr,05605b4e-24a0-4ff9-85e2-78e38c265663,lidl_0123_compositing.1041,idle,fx_easy,lidl_0123,medium,node_2,1920x1080,compositing,4,3,3.1395305446826427,1041,19,405365,120.38874556736188,6019.437278368094
76,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.695568Z,render_jobs,exr,056c34fd-22c2-4496-908d-929adb326959,nike_0456_animation_playblast.1005,idle,lighting_mid,nike_0456,medium,node_7,1920x1080,animation_playblast,4,10,5.3619081855281605,1005,12,94164,69.21901778410441,3460.9508892052204
77,2024-05-24T09:22:52.766447206Z,2024-06-23T09:22:52.766447206Z,2024-06-23T08:52:02.810138Z,render_jobs,exr,056f9118-1fbb-4c12-8cdd-298259b1a209,apple_0789_compositing.1005,finished,lighting_mid,apple_0789,medium,node_14,1920x1080,compositing,4,8,6.8083482517897185,1005,15,385163,113.69890779775248,5684.9453898876245
